20216,7347,{}
17248,4760,{}
17248,19690,{}
17248,14155,{}
9076,6170,{}
9076,20624,{}
9076,2841,{}
1971,26360,{}
1971,27599,{}
1971,1655,{}
1971,1347,{}
1971,17256,{}
1971,16726,{}
1971,21448,{}
1971,12447,{}
1971,19099,{}
1971,10175,{}
1971,8526,{}
1971,393,{}
1971,28233,{}
1971,5865,{}
1971,756,{}
1971,24172,{}
1971,19521,{}
1971,17723,{}
1971,17466,{}
1971,18370,{}
1971,2634,{}
1971,10620,{}
1971,9682,{}
1971,20402,{}
1971,28569,{}
1971,22414,{}
1971,16790,{}
1971,12078,{}
1971,4892,{}
1971,6150,{}
1971,17465,{}
1971,24422,{}
1971,27499,{}
1971,948,{}
1971,18688,{}
1971,19849,{}
1971,27345,{}
1971,12846,{}
1971,9993,{}
1971,13212,{}
1971,7608,{}
1971,15623,{}
1971,9394,{}
1971,16589,{}
1971,24386,{}
1971,2203,{}
1971,6301,{}
1971,19595,{}
1971,7435,{}
10524,27509,{}
10524,19755,{}
10524,21345,{}
10524,27793,{}
5999,12775,{}
22314,10322,{}
22314,27682,{}
22314,454,{}
22314,4366,{}
22314,18790,{}
22314,10478,{}
22314,24798,{}
14513,20857,{}
14513,1413,{}
14513,16001,{}
26573,875,{}
26573,14968,{}
26573,26810,{}
26573,11806,{}
26573,20597,{}
26573,1212,{}
26573,10244,{}
26573,28775,{}
26573,8029,{}
26573,756,{}
26573,26553,{}
26573,14017,{}
26573,4092,{}
26573,13938,{}
26573,3734,{}
26573,1079,{}
26573,19902,{}
3756,15618,{}
3756,8789,{}
3756,6609,{}
3756,20588,{}
3756,11024,{}
3756,4969,{}
3756,22844,{}
3756,13816,{}
3756,17179,{}
3756,8280,{}
3756,21122,{}
3756,29012,{}
3756,22747,{}
3756,9760,{}
3756,14878,{}
3756,18370,{}
3756,20682,{}
3756,27141,{}
3756,12615,{}
3756,6802,{}
3756,12901,{}
4640,20893,{}
4640,10315,{}
4640,12894,{}
4640,1861,{}
4640,14023,{}
4640,9127,{}
4640,19462,{}
4640,6251,{}
4640,14570,{}
4640,4966,{}
4640,20254,{}
4640,8543,{}
4640,22658,{}
14519,24018,{}
14519,1900,{}
14519,21089,{}
14519,2080,{}
14519,25172,{}
14519,26626,{}
14519,22457,{}
14519,13743,{}
14519,3155,{}
14519,4062,{}
14519,10175,{}
14329,23703,{}
26696,26429,{}
23433,1632,{}
3582,10795,{}
3582,9621,{}
3582,3463,{}
3582,29380,{}
3582,5019,{}
3582,20687,{}
3582,7815,{}
3582,23883,{}
3582,11867,{}
3582,1349,{}
3582,28473,{}
3582,25676,{}
3582,4116,{}
